accuracy,previous_score,avg_time,difficulty_level,topic_accuracy,next_score,competency
69.93,54.67,32.7,3,68.99,83.12,Intermediate
57.23,50.35,42.4,2,51.05,67.76,Beginner
72.95,69.64,36.2,1,67.19,76.07,Intermediate
90.46,100.0,44.0,2,90.82,92.96,Intermediate
55.32,59.77,50.7,1,56.66,49.6,Beginner
55.32,44.63,71.7,2,49.84,57.42,Beginner
91.58,95.47,48.6,3,88.31,90.15,Advanced
75.35,62.97,23.3,2,91.48,66.37,Intermediate
50.61,59.27,77.8,3,67.22,62.9,Beginner
70.85,67.08,38.3,2,73.88,69.01,Intermediate
50.73,49.98,53.8,1,34.64,59.85,Beginner
50.69,61.29,63.9,2,57.15,59.92,Beginner
64.84,54.54,59.0,2,83.49,70.99,Intermediate
21.73,10.56,76.9,2,38.17,31.67,Beginner
25.5,20.83,64.6,1,34.31,25.77,Beginner
48.75,57.06,37.8,2,65.82,64.0,Beginner
39.74,27.59,98.6,1,40.38,42.82,Beginner
66.28,43.63,58.9,1,73.82,68.79,Intermediate
41.84,38.23,52.1,2,33.67,42.6,Beginner
31.75,36.17,74.3,1,35.26,29.63,Beginner
89.31,98.92,60.0,3,100.0,95.03,Advanced
55.48,51.78,63.0,2,48.41,60.35,Beginner
61.35,58.06,104.8,3,51.01,58.71,Beginner
31.51,40.74,49.5,2,32.67,28.35,Beginner
49.11,34.15,48.6,2,46.39,45.56,Beginner
62.22,59.11,57.3,1,70.01,70.42,Intermediate
36.98,38.5,76.4,3,31.54,40.34,Beginner
67.51,71.11,24.9,2,88.14,68.08,Intermediate
47.99,43.91,15.7,3,32.51,62.85,Beginner
54.17,54.44,43.3,2,69.21,51.1,Intermediate
47.97,28.06,22.3,1,38.79,45.77,Beginner
97.05,91.78,46.5,2,75.49,92.67,Intermediate
59.73,63.36,65.0,1,62.58,70.66,Beginner
38.85,30.99,37.2,2,35.79,55.7,Beginner
76.45,76.92,26.5,1,63.14,80.84,Intermediate
35.58,39.16,56.4,2,15.41,45.44,Beginner
64.18,61.44,72.3,3,64.08,65.56,Intermediate
20.81,22.17,21.1,2,32.52,38.83,Beginner
33.44,25.73,71.4,3,40.46,42.37,Beginner
63.94,62.28,71.3,2,64.62,71.94,Intermediate
74.77,79.65,74.1,2,80.52,76.15,Intermediate
63.43,64.68,79.4,3,63.1,66.74,Intermediate
57.69,52.99,99.0,3,40.53,73.05,Beginner
53.98,55.77,47.9,3,36.93,62.9,Beginner
30.43,36.15,57.2,1,27.99,42.7,Beginner
45.6,29.2,46.7,2,43.68,51.49,Beginner
50.79,60.06,55.0,1,61.0,47.63,Beginner
81.14,78.45,85.7,2,90.23,79.15,Intermediate
66.87,70.28,28.1,2,74.13,70.14,Intermediate
24.74,34.32,37.8,3,21.38,29.0,Beginner
66.48,55.51,82.5,3,49.91,64.52,Intermediate
52.3,46.62,75.4,2,57.24,63.32,Beginner
46.46,44.15,47.7,1,52.76,45.48,Beginner
72.23,65.96,72.1,3,43.57,77.28,Intermediate
80.62,94.5,61.8,1,70.61,81.95,Intermediate
78.63,71.77,85.0,2,70.33,76.81,Intermediate
43.22,38.77,56.5,1,44.64,54.46,Beginner
53.82,55.45,75.5,2,44.18,50.81,Beginner
66.63,57.01,107.8,3,66.17,69.86,Intermediate
79.51,76.35,67.0,1,76.98,80.63,Intermediate
50.42,52.96,56.0,2,48.51,54.06,Beginner
56.29,53.62,69.4,1,47.69,50.0,Beginner
37.87,37.13,47.7,3,30.21,50.07,Beginner
36.08,31.84,102.8,3,23.11,44.65,Beginner
76.25,64.13,58.6,1,80.81,72.1,Intermediate
87.12,89.7,49.5,1,93.98,90.4,Intermediate
58.56,72.6,38.3,2,49.31,64.12,Beginner
80.07,80.22,76.9,1,98.32,71.98,Intermediate
67.23,69.03,72.3,2,63.46,64.73,Intermediate
47.1,52.64,45.1,1,65.46,56.16,Beginner
67.23,57.07,66.5,1,59.52,69.71,Beginner
90.76,100.0,24.8,2,66.44,88.11,Intermediate
59.28,60.9,58.7,1,64.11,55.39,Beginner
91.29,100.0,64.1,3,94.28,90.9,Advanced
7.61,1.74,89.1,1,8.02,10.33,Beginner
76.44,90.98,39.6,1,68.73,71.25,Intermediate
61.74,67.94,29.4,3,61.33,56.35,Intermediate
54.02,58.44,37.1,2,47.88,64.54,Beginner
61.84,63.71,28.3,2,58.21,70.71,Intermediate
20.25,18.26,81.7,1,30.35,16.99,Beginner
55.61,65.21,86.0,2,57.82,59.98,Beginner
67.14,68.27,61.4,2,74.46,64.36,Intermediate
89.56,73.82,79.4,1,86.78,86.82,Intermediate
49.63,40.7,57.7,3,45.53,53.6,Beginner
43.83,42.34,53.1,2,29.99,45.76,Beginner
49.96,52.44,48.3,2,45.52,65.99,Beginner
78.31,77.86,48.8,2,38.45,77.4,Intermediate
66.58,76.33,24.0,2,59.49,64.4,Intermediate
49.4,33.8,60.3,1,48.42,46.88,Beginner
70.27,71.41,54.2,2,77.03,78.91,Intermediate
61.94,47.4,69.9,1,58.72,53.07,Beginner
79.37,85.45,56.9,2,83.54,76.45,Intermediate
45.96,45.2,51.7,3,19.8,60.96,Beginner
53.45,56.8,37.6,2,52.76,58.63,Beginner
52.16,45.25,56.4,3,32.0,59.14,Beginner
30.73,40.97,69.8,1,16.23,47.06,Beginner
65.92,74.26,32.1,2,63.68,70.13,Intermediate
65.22,69.89,56.7,3,80.54,65.75,Intermediate
60.1,59.07,59.7,2,64.56,61.6,Intermediate
55.31,59.95,40.6,2,55.53,52.07,Beginner
31.69,26.04,43.2,1,31.46,42.69,Beginner
51.59,58.43,59.6,2,43.02,58.91,Beginner
53.15,66.34,32.3,1,46.62,61.64,Beginner
43.95,52.52,62.0,3,49.08,57.72,Beginner
56.77,50.94,37.1,1,40.15,55.75,Beginner
68.08,70.97,76.3,3,75.2,66.97,Intermediate
97.72,87.38,101.8,2,93.06,94.6,Intermediate
63.49,68.07,37.8,1,73.4,59.18,Intermediate
65.15,68.76,65.7,2,76.68,68.93,Intermediate
58.51,43.55,40.5,3,38.43,70.62,Beginner
21.62,12.33,75.8,3,14.65,28.89,Beginner
59.47,57.2,29.7,1,49.2,61.61,Beginner
61.2,58.8,64.6,1,39.45,61.75,Beginner
99.0,89.32,37.5,1,86.61,100.0,Advanced
56.15,59.26,50.9,1,85.45,53.65,Intermediate
66.03,68.04,34.4,2,73.35,55.57,Intermediate
59.31,57.75,71.4,3,82.31,67.39,Intermediate
36.63,30.58,38.3,2,46.58,47.62,Beginner
82.86,91.25,66.0,2,73.95,86.91,Intermediate
75.04,88.28,48.1,2,70.46,73.19,Intermediate
